system,formula,window_size,order_tolerance,minimum_r2,qualified,eligible_window_count,selected_start_index,selected_t_start,selected_t_stop,selected_free_order,selected_fixed_order_alpha,selected_analytic_time
H4,morales_y8m10b,5,0.2,0.995,True,4,24,0.5275908746355139,0.9102803235170321,7.8999424471094795,9.167877526261597e-11,4.578608440704645
H4,morales_y8m10b,5,0.2,0.999,True,4,24,0.5275908746355139,0.9102803235170321,7.8999424471094795,9.167877526261597e-11,4.578608440704645
H4,morales_y8m10b,5,0.3,0.995,True,5,24,0.5275908746355139,0.9102803235170321,7.8999424471094795,9.167877526261597e-11,4.578608440704645
H4,morales_y8m10b,5,0.3,0.999,True,5,24,0.5275908746355139,0.9102803235170321,7.8999424471094795,9.167877526261597e-11,4.578608440704645
H4,morales_y8m10b,6,0.1,0.995,False,0,,,,,,
H4,morales_y8m10b,6,0.1,0.999,False,0,,,,,,
H4,morales_y8m10b,6,0.2,0.995,True,3,24,0.5275908746355139,1.0432649699322605,7.8890333156264045,9.089760075265048e-11,4.58350861964194
H4,morales_y8m10b,6,0.2,0.999,True,3,24,0.5275908746355139,1.0432649699322605,7.8890333156264045,9.089760075265048e-11,4.58350861964194
H4,morales_y8m10b,6,0.3,0.995,True,5,24,0.5275908746355139,1.0432649699322605,7.8890333156264045,9.089760075265048e-11,4.58350861964194
H4,morales_y8m10b,6,0.3,0.999,True,5,24,0.5275908746355139,1.0432649699322605,7.8890333156264045,9.089760075265048e-11,4.58350861964194
